규정명,조항,제목,본문,키워드
GS칼텍스 예울마루 수탁 운영규정,제1조,목적,"본 규정은 재단법인 지에스칼텍스재단(이하 “법인”이라 한다)이 수탁 운영하는 GS칼텍
스 예울마루(이하 “예울마루”라 한다)의 운영에 관한 기본 방침을 규정함을 목적으로 
한다.",목적
GS칼텍스 예울마루 수탁 운영규정,제2조,적용범위,"본 규정은 특별히 정하는 경우를 제외하고는 수탁 운영하는 예울마루에 이를 적용하며, 
규정되지 아니한 사항은 관련 법률 규정 적용 또는 이사장의 승인을 득하여 세칙으로 
둘 수 있다.",적용범위
GS칼텍스 예울마루 수탁 운영규정,제3조,수탁 운영의 권한과 의무,"법인은 예울마루에 대한 수탁 운영 기간 만료 또는 수탁 운영 정지 시에는 수탁
시설에 대한 모든 권한과 의무가 소멸한다.","수탁,운영의,권한과,의무"
GS칼텍스 예울마루 수탁 운영규정,제4조,이사회,법인 이사회가 예울마루의 이사회로서 역할을 수행한다.,이사회
GS칼텍스 예울마루 수탁 운영규정,제5조,이사회의 기능,"이사회는 예울마루의 운영과 관련하여 다음 각 항의 사항을 심의·결정한다. 다만, 제2
항, 제4항의 경우는 이사장에게 위임한다. 
①예울마루의 예산·결산에 관한 사항 
②규정의 신설 또는 개정에 관한 사항 
③관장의 임면에 관한 사항 
④그 밖에 예울마루의 운영에 관한 중요한 사항","이사회의,기능"
GS칼텍스 예울마루 수탁 운영규정,제6조,관장등,"①예울마루에 관장을 둔다. 
②관장은 이사장과 상임이사를 보좌하고 예울마루의 총괄로서 예울마루 업무를 통할

하고, 소속 직원을 지휘·감독한다.",관장등
GS칼텍스 예울마루 수탁 운영규정,제7조,운영협의회,예울마루 운영에 대한 자문을 위하여 예울마루 내에 운영협의회를 둔다.,운영협의회
GS칼텍스 예울마루 수탁 운영규정,제8조,조직,하부조직의 구성에 관한 사항은 따로 정한다.,조직
GS칼텍스 예울마루 수탁 운영규정,제9조,자격,"①직원의 임용기준은 인사 규정으로 따로 정한다.
②직원의 신규임용에 있어서는 학력에 제한을 두지 아니한다. 다만, 수행직무 및 직종
에 따라 학력, 경력, 전문성 등을 필요로 하는 경우에는 예외로 할 수 있다.",자격
GS칼텍스 예울마루 수탁 운영규정,제10조,임용,"①직원의 신규채용, 승진, 전직, 직무순환, 강임, 휴직, 직위해제, 복직, 면직, 해임 및 
파면(이하 “임용”이라 한다)에 관하여는 따로 정한다. 임용권자가 공개 채용, 전형 
또는 근무 성적 기타 능력의 실증에 의하여 행함을 원칙으로 한다.
②이사장이 필요하다고 인정할 때에는 법인소속 및 관련 직원을 예울마루에 파견 또
는 겸직 발령할 수 있다.",임용
GS칼텍스 예울마루 수탁 운영규정,제11조,복무,직원의 복무에 관하여는 따로 정한다.,복무
GS칼텍스 예울마루 수탁 운영규정,제12조,보수,"직원의 보수는 이사장의 승인을 받아 직무의 난이성 및 책임의 정도에 따라 직책 또는 
직위별 연봉을 책정하고 세부사항은 따로 정한다.",보수
GS칼텍스 예울마루 수탁 운영규정,제13조,정원,예울마루 직원의 정원은 별표 1과 같다.,정원
GS칼텍스 예울마루 수탁 운영규정,제14조,자본적 지출과 수익적 지출,"자산의 내용연수를 연장시키거나 당해 자산의 가치를 실질적으로 증가시키는 지출은 자
본적 지출로서 당해 자산의 장부가액에 가산한다. 이 외의 지출에 대하여는 수익적 지
출로서 당기 비용으로 처리한다.","자본적,지출과,수익적,지출"
GS칼텍스 예울마루 수탁 운영규정,제15조,자본적 지출의 범위,위수탁 재산관리의 자본적 지출의 범위는 별표 2와 같다.,"자본적,지출의,범위"
GS칼텍스 예울마루 수탁 운영규정,제16조,회계의 구분,"①예울마루에 속하는 회계는 법인에 속하는 회계와 구분하여 독립적으로 적용한다.
②예울마루의 회계에 관한 사항은 따로 정한다.","회계의,구분"
GS칼텍스 예울마루 수탁 운영규정,제17조,회계연도,예울마루의 회계연도는 정부의 회계연도에 의한다.,회계연도
